Date,Close (BNB),Close (BTC),Close (USDT),Close (ETH)
16-03-19,16.119011,4048.72583,1.010961,142.398178
17-03-19,15.761146,4025.229004,1.009218,140.000549
18-03-19,15.682012,4032.507324,1.010947,139.374603
19-03-19,15.693595,4071.190186,1.01401,140.519196
20-03-19,15.280023,4087.476318,1.010557,140.686356
21-03-19,14.517393,4029.326904,1.011736,136.636063
22-03-19,15.266424,4023.968262,1.007622,137.181442
23-03-19,15.235995,4035.826416,1.007352,138.239868
24-03-19,17.285357,4022.168213,1.005638,136.986923
25-03-19,16.841007,3963.070557,1.007552,135.031021
26-03-19,16.335665,3985.080811,1.010339,135.460358
27-03-19,16.781343,4087.066162,1.012253,140.988159
28-03-19,16.80533,4069.107178,1.010852,139.416473
29-03-19,16.510141,4098.374512,0.998496,142.497421
30-03-19,16.932213,4106.660156,1.000349,142.092682
31-03-19,17.40167,4105.404297,1.000559,141.514099
01-04-19,17.950502,4158.183105,1.003026,141.830322
02-04-19,19.789783,4879.87793,1.008167,163.961746
03-04-19,18.753063,4973.021973,1.007502,161.458801
04-04-19,19.142689,4922.798828,1.005421,158.052536
05-04-19,19.453466,5036.681152,1.00701,165.514847
06-04-19,19.115629,5059.817383,1.003663,165.947205
